COUNT_DATE,VolumeLeg,LegDir,Street2,Location,TOTAL (Cars/Day),Lat,Lng
2005-10-25,Saratoga Av,S of,Manzanita Dr,Saratoga Av - S of  Manzanita Dr,42381,37.311032,-121.977328
2010-06-03,Moorpark Av,S of,Saratoga Av,Moorpark Av - S of  Saratoga Av,42263,37.314965,-121.97648
2007-06-26,Winchester Bl,N of,Junipero Serra Fr,Winchester Bl - N of  Junipero Serra Fr,41880,37.317566,-121.950122
2007-04-16,Murphy Av,W of,Oyama Dr,Murphy Av - W of  Oyama Dr,41799,37.383513,-121.892392
2005-01-11,Bascom Av,N of,Southwest Ex,Bascom Av - N of  Southwest Ex,41558,37.298724,-121.931684
2007-04-16,Murphy Av,E of,Oyama Dr,Murphy Av - E of  Oyama Dr,41322,37.383788,-121.891941
2010-05-18,Murphy Av,W of,Lundy Av,Murphy Av - W of  Lundy Av,40853,37.386848,-121.886906
2006-06-29,Winchester Bl,S of,Olsen Dr,Winchester Bl - S of  Olsen Dr,38460,37.318773,-121.95013
2010-05-25,Camden Av,W of,Leigh Av,Camden Av - W of  Leigh Av,37423,37.261744,-121.923528
2005-03-23,Winchester Bl,N of,Walgrove Wy,Winchester Bl - N of  Walgrove Wy,36410,37.306891,-121.950011
2008-01-19,Tully Rd,E of,Tenth St,Tully Rd - E of  Tenth St,36340,37.305679,-121.850988
2006-03-07,Bascom Av,S of,Borello Dr,Bascom Av - S of  Borello Dr,36262,37.297948,-121.93167
2006-03-07,Bascom Av,N of,Borello Dr,Bascom Av - N of  Borello Dr,36243,37.298665,-121.931684
2005-01-12,Meridian Av,S of,Curci Dr,Meridian Av - S of  Curci Dr,35810,37.307627,-121.913634
2006-06-07,Coleman Av,N of,Airport Bl,Coleman Av - N of  Airport Bl,35750,37.351031,-121.921246
2010-05-26,Camden Av,S of,Michon Dr,Camden Av - S of  Michon Dr,35534,37.247373,-121.908969
2005-10-18,Saratoga Av,N of,Latimer Av,Saratoga Av - N of  Latimer Av,35337,37.298853,-121.983846
2008-01-19,Tully Rd,W of,Tenth St,Tully Rd - W of  Tenth St,34940,37.305002,-121.852016
2008-02-13,Taylor St,E of,Eighteenth St,Taylor St - E of  Eighteenth St,34860,37.357308,-121.882895
2010-05-19,Quimby Rd,E of,Capitol Ex,Quimby Rd - E of  Capitol Ex,34630,37.324046,-121.807711
2008-01-24,Senter Rd,N of,Balfour Dr,Senter Rd - N of  Balfour Dr,34623,37.300392,-121.840381
2005-01-05,Winchester Bl,S of,Neal Av,Winchester Bl - S of  Neal Av,34310,37.311245,-121.95006
2005-01-05,Winchester Bl,N of,Neal Av,Winchester Bl - N of  Neal Av,34238,37.312116,-121.950072
2005-03-23,Winchester Bl,N of,Loma Verde Dr,Winchester Bl - N of  Loma Verde Dr,34140,37.299231,-121.949928
2008-07-29,Stevens Creek Bl,E of,Harold Av,Stevens Creek Bl - E of  Harold Av,33570,37.323264,-121.961837
2008-01-24,Senter Rd,S of,Balfour Dr,Senter Rd - S of  Balfour Dr,33418,37.299822,-121.83988
2008-08-05,Stevens Creek Bl,W of,Rosewood Av,Stevens Creek Bl - W of  Rosewood Av,33000,37.323296,-121.954708
